P,T
-56.06118858,63.858
-57.21997395,63.964
-56.70384689,64.069
-55.97515339,64.174
-56.96449698,64.28
-57.0909456,64.385
-56.87589329,64.49
-56.02072137,64.595
-56.91632369,64.7
-55.760061,64.806
-56.78471812,64.911
-55.88911719,65.016
-56.48878321,65.122
-56.61782218,65.227
-57.30339804,65.333
-56.40531921,65.438
-57.17178631,65.543
-56.36230377,65.649
-56.10165264,65.754
-55.49940884,65.86
-57.30599159,65.965
-56.7898706,66.07
-55.88657126,66.176
-56.48878321,66.281
-56.40788246,66.387
-56.70384689,66.492
-57.00750889,66.597
-57.30339804,66.703
-57.48062315,66.808
-56.74943366,66.913
-56.82772671,67.019
-56.57737846,67.124
-57.7764611,67.23
-57.86246928,67.335
-56.87589329,67.44
-56.14466816,67.546
-56.05863687,67.651
-55.50194178,67.757
-56.57480944,67.862
-57.26039079,67.967
-55.5854467,68.073
-57.1339553,68.178
-57.34900003,68.284
-56.83288207,68.389
-55.88657126,68.494
-55.67402227,68.6
-56.06118858,68.705
-56.62039264,68.811
-55.88911719,68.916
-57.17437553,69.021
-56.05353347,69.127
-57.17696475,69.232
-57.04793564,69.337
-56.1851274,69.443
-56.49134934,69.548
-55.50194178,69.654
-55.97770221,69.759
-56.95933296,69.864
-57.30339804,69.97
-55.37287876,70.075
-55.58291087,70.181
-55.19574551,70.286
-55.80053694,70.391
-57.09353194,70.497
-55.28683548,70.602
-55.41083991,70.708
-56.70642024,70.813
-56.01817111,70.918
-56.31672771,71.024
-56.53436403,71.129
-55.92704067,71.234
-55.84355422,71.339
-55.37035015,71.444
-54.29726505,71.55
-54.67949316,71.655
-56.44064033,71.76
-55.41590002,71.866
-54.80855966,71.971
-56.01052033,72.077
-56.05863687,72.182
-56.1851274,72.287
-57.04793564,72.393
-56.87589329,72.498
-57.0909456,72.604
-55.15776866,72.709
-55.58798253,72.814
-53.69237999,72.92
-54.77055456,73.025
-53.99606488,73.131
-55.84609871,73.236
-54.03909423,73.341
-53.95799723,73.447
-55.63100253,73.552
-54.59845282,73.657
-55.89166312,73.763
-58.25474417,73.868
-56.23325592,73.974
-55.50700766,74.079
-56.49134934,74.184
-56.19023946,74.29
-55.67402227,74.395
-54.7275295,74.501
-56.57737846,74.606
-55.58798253,74.711
-55.41590002,74.817
-56.14722275,74.922
-56.14722275,75.028
-56.06118858,75.133
-55.84355422,75.238
-55.24381346,75.344
-55.20079119,75.449
-55.5424279,75.555
-55.19574551,75.66
-56.61782218,75.765
-56.83545975,75.871
-57.17178631,75.976
-56.19023946,76.081
-57.0909456,76.187
-55.7575194,76.292
-56.92148482,76.398
-56.66340657,76.503
-56.91890426,76.608
-55.06920434,76.714
-57.17696475,76.819
-55.32733008,76.925
