Time [s],Baro_P [m],Kalman_P [m],Kalman_V [m/s],Kalman_A [m/s^2],Kalman_Gain_P,Kalman_Uncertainty_P
18057,2.14,-118.94,-164.38,-28.84,0.06333,0.00179
18109,2.14,-119.31,-160.88,-27.14,0.06337,0.00179
18160,2.38,-119.32,-157.25,-25.44,0.06333,0.00179
18210,2.38,-119.03,-153.53,-23.74,0.06321,0.00178
18260,2.38,-118.58,-149.75,-22.05,0.06311,0.00178
18312,2.38,-118.27,-145.95,-20.37,0.06316,0.00178
18363,2.30,-117.65,-142.06,-18.70,0.06313,0.00178
18413,2.30,-116.77,-138.12,-17.04,0.06303,0.00178
18463,2.30,-115.77,-134.14,-15.40,0.06293,0.00177
18515,2.30,-114.89,-130.14,-13.77,0.06300,0.00178
18575,2.71,-114.73,-126.10,-12.12,0.06365,0.00180
18625,2.71,-113.19,-121.92,-10.49,0.06352,0.00179
18675,2.71,-111.57,-117.74,-8.89,0.06339,0.00179
18727,2.71,-110.07,-113.55,-7.31,0.06342,0.00179
18778,1.97,-108.40,-109.37,-5.77,0.06338,0.00179
18828,1.97,-106.55,-105.20,-4.25,0.06326,0.00178
18878,1.97,-104.63,-101.04,-2.77,0.06315,0.00178
18930,1.97,-102.82,-96.88,-1.31,0.06319,0.00178
18981,2.14,-100.82,-92.72,0.13,0.06316,0.00178
19031,2.14,-98.67,-88.58,1.53,0.06306,0.00178
19088,2.14,-96.99,-84.40,2.92,0.06348,0.00179
19140,2.14,-94.81,-80.25,4.28,0.06351,0.00179
19191,1.89,-92.50,-76.13,5.60,0.06346,0.00179
19241,1.89,-90.08,-72.07,6.89,0.06333,0.00179
19291,1.89,-87.63,-68.05,8.13,0.06321,0.00178
19343,1.89,-85.27,-64.04,9.35,0.06326,0.00178
19394,1.48,-82.84,-60.10,10.53,0.06322,0.00178
19444,1.48,-80.32,-56.22,11.67,0.06311,0.00178
19494,1.48,-77.79,-52.39,12.77,0.06301,0.00178
19546,1.48,-75.32,-48.58,13.84,0.06306,0.00178
19597,0.90,-72.82,-44.85,14.86,0.06304,0.00178
19652,0.90,-70.44,-41.10,15.86,0.06332,0.00179
19702,0.90,-67.84,-37.48,16.82,0.06320,0.00178
19754,0.90,-65.30,-33.89,17.74,0.06325,0.00178
19805,1.56,-62.67,-30.34,18.64,0.06321,0.00178
19855,1.56,-60.02,-26.89,19.50,0.06310,0.00178
19905,1.56,-57.37,-23.50,20.32,0.06300,0.00178
19957,1.56,-54.78,-20.13,21.10,0.06306,0.00178
20008,1.15,-52.19,-16.87,21.84,0.06303,0.00178
20058,1.15,-49.59,-13.70,22.55,0.06294,0.00177
20108,1.15,-47.02,-10.61,23.21,0.06285,0.00177
20166,1.15,-44.51,-7.38,23.85,0.06337,0.00179
20217,1.15,-41.94,-4.39,24.46,0.06332,0.00179
20267,1.15,-39.39,-1.50,25.02,0.06321,0.00178
20317,1.15,-36.88,1.31,25.55,0.06310,0.00178
20369,1.15,-34.38,4.10,26.05,0.06315,0.00178
20420,1.40,-31.89,6.79,26.51,0.06312,0.00178
20470,1.40,-29.45,9.38,26.94,0.06302,0.00178
20520,1.40,-27.03,11.89,27.34,0.06293,0.00177
20572,1.40,-24.63,14.38,27.70,0.06299,0.00178
20623,1.48,-22.26,16.76,28.03,0.06297,0.00178
20673,1.48,-19.95,19.04,28.33,0.06288,0.00177
20728,1.48,-17.58,21.38,28.59,0.06317,0.00178
20780,1.48,-15.30,23.55,28.83,0.06322,0.00178
20831,1.07,-13.10,25.61,29.02,0.06319,0.00178
20881,1.07,-10.97,27.55,29.19,0.06308,0.00178
20931,1.07,-8.89,29.42,29.33,0.06298,0.00178
20983,1.07,-6.79,31.27,29.44,0.06304,0.00178
21034,0.90,-4.78,33.00,29.52,0.06302,0.00178
21084,0.90,-2.84,34.63,29.57,0.06293,0.00177
21134,0.90,-0.95,36.18,29.60,0.06284,0.00177
21186,0.90,0.97,37.72,29.60,0.06291,0.00177
21237,0.90,2.81,39.15,29.57,0.06290,0.00177
21287,0.90,4.56,40.48,29.52,0.06282,0.00177
21344,0.90,6.53,41.93,29.44,0.06326,0.00178
21396,0.90,8.25,43.16,29.34,0.06330,0.00179
21447,0.90,9.89,44.29,29.21,0.06327,0.00178
21497,0.90,11.43,45.32,29.06,0.06316,0.00178
21547,0.90,12.92,46.28,28.90,0.06306,0.00178
21599,0.90,14.45,47.22,28.71,0.06311,0.00178
21650,0.90,15.89,48.07,28.50,0.06309,0.00178
21700,0.90,17.23,48.83,28.27,0.06299,0.00178
21750,0.90,18.53,49.52,28.03,0.06290,0.00177
21802,0.90,19.87,50.20,27.76,0.06296,0.00178
21853,0.82,21.10,50.79,27.48,0.06295,0.00178
21908,0.82,22.47,51.41,27.18,0.06324,0.00178
21958,0.82,23.55,51.83,26.86,0.06313,0.00178
22010,0.82,24.67,52.25,26.53,0.06318,0.00178
22061,1.07,25.71,52.59,26.18,0.06315,0.00178
22111,1.07,26.65,52.85,25.83,0.06305,0.00178
22161,1.07,27.54,53.06,25.46,0.06296,0.00178
22213,1.07,28.49,53.26,25.08,0.06302,0.00178
22264,0.90,29.33,53.37,24.68,0.06300,0.00178
22314,0.90,30.07,53.42,24.28,0.06291,0.00177
22364,0.90,30.77,53.41,23.86,0.06282,0.00177
22416,0.90,31.53,53.40,23.44,0.06289,0.00177
22474,1.07,32.53,53.46,23.00,0.06341,0.00179
22524,1.07,33.07,53.29,22.55,0.06329,0.00178
22574,1.07,33.57,53.08,22.09,0.06318,0.00178
22626,1.07,34.13,52.87,21.63,0.06323,0.00178
22677,0.99,34.59,52.59,21.16,0.06319,0.00178
22727,0.99,34.96,52.26,20.69,0.06309,0.00178
22777,0.99,35.29,51.89,20.21,0.06299,0.00178
22829,0.99,35.68,51.52,19.73,0.06305,0.00178
22880,0.90,35.97,51.09,19.24,0.06303,0.00178
22930,0.90,36.18,50.60,18.75,0.06294,0.00177
22980,0.90,36.36,50.09,18.26,0.06285,0.00177
23037,0.90,36.82,49.66,17.76,0.06329,0.00178
23088,1.07,36.95,49.08,17.25,0.06326,0.00178
23138,1.07,37.00,48.47,16.75,0.06315,0.00178
23188,1.07,37.03,47.84,16.25,0.06305,0.00178
23240,1.07,37.11,47.20,15.75,0.06310,0.00178
23291,1.15,37.12,46.53,15.25,0.06308,0.00178
23341,1.15,37.05,45.82,14.75,0.06298,0.00178
